id,title,description,price,brand,category,subcategory,tags,seller_id,rating,popularity,in_stock
I0024,Minimal Blue Kurta by SteelPro,"Kurta in Terracotta with Anti-Slip, Skin-Friendly. Ideal for men use.",1946,SteelPro,Men,Kurta,western;home;grooming;handmade;travel;casual,S013,4.19,0.291,true
I0025,Vibrant Pink Tools by ChefPro,"Tools in Canvas with Long Battery, Nonstick. Ideal for kitchen use.",2158,ChefPro,Kitchen,Tools,dailywear;travel;winter;grooming;decor;new,S006,3.68,0.29,true
I0026,Eco Purple Earbuds by SparkLite,"Earbuds in Stainless Steel with Anti-Slip, Quick-Dry. Ideal for electronics use.",1061,SparkLite,Electronics,Earbuds,summer;audio;festival;new;western;gadgets,S009,4.51,0.298,true
I0027,Elegant Red Frocks by SparkLite,"Frocks in Denim with Anti-Slip, Organizer Pockets. Ideal for kids use.",1132,SparkLite,Kids,Frocks,fitness;office;festival;wedding;home;new,S009,4.05,0.297,true
I0028,Vibrant Yellow Tops by BeechCraft,"Tops in Silk with Noise Cancellation, RFID Blocking. Ideal for women western use.",463,BeechCraft,Women Western,Tops,eco;western;decor;new;premium;grooming,S015,4.66,0.309,true
I0029,Vibrant Black Bedsheets by SonicBeat,"Bedsheets in Denim with Quick-Dry, Skin-Friendly. Ideal for home use.",681,SonicBeat,Home,Bedsheets,gift;trending;office;organizer;budget;bestseller,S012,4.15,0.304,true
I0030,Lightweight Black Men Sneakers by Oak&Co,"Men Sneakers in Leather with Anti-Slip, Quick-Dry. Ideal for footwear use.",730,Oak&Co,Footwear,Men Sneakers,ethnic;travel;kitchen;dailywear;gift;handmade,S013,4.15,0.303,true
I0031,Vibrant Navy T-shirts by CraftKart,"T-shirts in Canvas with Organizer Pockets, Skin-Friendly. Ideal for men use.",508,CraftKart,Men,T-shirts,eco;fitness;women;trending;dailywear;festival,S011,3.91,0.308,false
I0032,Classic Brown T-Shirts by MaxStyle,"T-Shirts in Silk with Anti-Theft, Nonstick. Ideal for kids use.",386,MaxStyle,Kids,T-Shirts,wedding;grooming;budget;handmade;travel;bestseller,S002,4.54,0.312,true
I0033,Trendy Yellow Wallets by UrbanHide,"Wallets in Stainless Steel with Long Battery, Stretchable. Ideal for bags & luggage use.",1186,UrbanHide,Bags & Luggage,Wallets,accessories;gift;eco;party;kids;travel,S008,4.54,0.297,true
I0034,Trendy Green Bangles by DesiWeave,"Bangles in Stainless Steel with Anti-Theft, Stretchable. Ideal for jewellery use.",656,DesiWeave,Jewellery,Bangles,gadgets;travel;eco;budget;kitchen;party,S007,4.09,0.304,true
I0035,Elegant Orange Skincare by DenimWorks,"Skincare in Terracotta with Long Battery, Anti-Slip. Ideal for beauty use.",1388,DenimWorks,Beauty,Skincare,fitness;ethnic;eco;party;decor;premium,S009,4.42,0.295,true
I0036,Vibrant Brown Tops by Oak&Co,"Tops in Polycarbonate with Organizer Pockets, Stretchable. Ideal for women western use.",742,Oak&Co,Women Western,Tops,office;gadgets;western;party;winter;decor,S013,4.85,0.302,true
I0037,Handcrafted Maroon Leggings by DesiWeave,"Leggings in Polycarbonate with Noise Cancellation, Anti-Slip. Ideal for women ethnic use.",407,DesiWeave,Women Ethnic,Leggings,bestseller;gift;wedding;fitness;budget;party,S008,4.24,0.311,true
I0038,Eco Beige Cookware by BeechCraft,"Cookware in Bamboo with Organizer Pockets, Stretchable. Ideal for kitchen use.",2293,BeechCraft,Kitchen,Cookware,office;party;ethnic;gift;organizer;kitchen,S010,4.54,0.289,true
I0039,Trendy White Necklaces by SareeSaheli,"Necklaces in Bamboo with Long Battery, Quick-Dry. Ideal for jewellery use.",921,SareeSaheli,Jewellery,Necklaces,kitchen;women;office;eco;gift;trending,S008,3.63,0.3,true
I0040,Comfy Maroon Dresses by BharatHome,"Dresses in Canvas with Stretchable, RFID Blocking. Ideal for women western use.",1220,BharatHome,Women Western,Dresses,fitness;festival;summer;premium;office;decor,S007,3.6,0.296,true
I0041,Vibrant Red Makeup by DesiWeave,"Makeup in Canvas with Long Battery, Noise Cancellation. Ideal for beauty use.",807,DesiWeave,Beauty,Makeup,gadgets;new;handmade;premium;gift;decor,S010,4.11,0.301,true
I0042,Comfy Black Frocks by ChefPro,"Frocks in Silk with Long Battery, Noise Cancellation. Ideal for kids use.",1375,ChefPro,Kids,Frocks,decor;women;budget;gadgets;dailywear;men,S009,4.06,0.295,true
I0043,Lightweight Red Skincare by MaxStyle,"Skincare in Silk with Stretchable, Anti-Theft. Ideal for beauty use.",184,MaxStyle,Beauty,Skincare,eco;trending;kids;bestseller;home;grooming,S015,4.74,0.325,true
I0044,Stylish White Curtains by AuraCare,"Curtains in Bamboo with Organizer Pockets, Leak-Proof. Ideal for home use.",453,AuraCare,Home,Curtains,ethnic;grooming;premium;office;kids;trending,S010,4.93,0.31,true
I0045,Eco Beige Makeup by BharatHome,"Makeup in Polycarbonate with Nonstick, Leak-Proof. Ideal for beauty use.",174,BharatHome,Beauty,Makeup,new;dailywear;travel;men;winter;gadgets,S009,3.91,0.327,true
I0046,Handcrafted Orange Tops by Oak&Co,"Tops in Stainless Steel with Skin-Friendly, Nonstick. Ideal for women western use.",317,Oak&Co,Women Western,Tops,women;accessories;handmade;bestseller;grooming;kitchen,S005,4.86,0.315,true
I0047,Trendy Purple Tools by FitBolt,"Tools in Wood with Leak-Proof, RFID Blocking. Ideal for kitchen use.",2191,FitBolt,Kitchen,Tools,decor;bestseller;gadgets;kitchen;summer;women,S007,4.74,0.29,true
I0048,Classic Orange Wallets by AuraCare,"Wallets in Leather with Quick-Dry, RFID Blocking. Ideal for bags & luggage use.",424,AuraCare,Bags & Luggage,Wallets,home;dailywear;wedding;gadgets;festival;western,S010,3.8,0.311,true
I0049,Durable Maroon Frocks by SareeSaheli,"Frocks in Chiffon with Stretchable, Organizer Pockets. Ideal for kids use.",214,SareeSaheli,Kids,Frocks,men;office;festival;summer;decor;gadgets,S004,4.83,0.322,false
I0050,Comfy Green Heels by UrbanHide,"Heels in Silk with Stretchable, Anti-Theft. Ideal for footwear use.",1270,UrbanHide,Footwear,Heels,kitchen;men;women;trending;western;winter,S010,3.72,0.296,true
I0051,Handcrafted Black Dumbbells by BharatHome,"Dumbbells in Wood with Anti-Slip, Anti-Theft. Ideal for sports & fitness use.",346,BharatHome,Sports & Fitness,Dumbbells,travel;premium;party;dailywear;trending;new,S014,3.6,0.314,true
I0052,Comfy Grey Dress Materials by SonicBeat,"Dress Materials in Canvas with Long Battery, Nonstick. Ideal for women ethnic use.",960,SonicBeat,Women Ethnic,Dress Materials,budget;style;travel;home;bestseller;fitness,S001,4.54,0.299,true
I0053,Elegant Orange Storage by SareeSaheli,"Storage in Leather with RFID Blocking, Long Battery. Ideal for kitchen use.",809,SareeSaheli,Kitchen,Storage,trending;party;ethnic;gadgets;grooming;bestseller,S013,4.94,0.301,true
I0054,Comfy Beige Makeup by KidJoy,"Makeup in Stainless Steel with Anti-Theft, Organizer Pockets. Ideal for beauty use.",304,KidJoy,Beauty,Makeup,western;men;fitness;budget;trending;home,S002,3.83,0.316,true
I0055,Premium Grey Women Sandals by ChefPro,"Women Sandals in Chiffon with Noise Cancellation, Long Battery. Ideal for footwear use.",313,ChefPro,Footwear,Women Sandals,handmade;eco;style;home;gift;wedding,S010,4.46,0.316,true
I0056,Durable Pink Cookware by NeoTrend,"Cookware in Chiffon with Anti-Slip, RFID Blocking. Ideal for kitchen use.",1235,NeoTrend,Kitchen,Cookware,eco;accessories;decor;organizer;premium;kids,S010,4.12,0.296,true
I0057,Elegant White Dumbbells by SonicBeat,"Dumbbells in Wood with Anti-Slip, Long Battery. Ideal for sports & fitness use.",536,SonicBeat,Sports & Fitness,Dumbbells,grooming;yoga;home;trending;budget;new,S002,4.35,0.307,true
I0058,Durable Purple Kurtis by DenimWorks,"Kurtis in Denim with Anti-Slip, Noise Cancellation. Ideal for women ethnic use.",2797,DenimWorks,Women Ethnic,Kurtis,women;men;dailywear;festival;travel;wedding,S006,3.55,0.287,true
I0059,Stylish Teal Ethnic by GlowHerb,"Ethnic in Chiffon with Organizer Pockets, Leak-Proof. Ideal for kids use.",222,GlowHerb,Kids,Ethnic,budget;wedding;school;gift;western;grooming,S010,3.62,0.322,true
I0060,Stylish Orange Earbuds by RoyalRoots,"Earbuds in Terracotta with Noise Cancellation, Nonstick. Ideal for electronics use.",2764,RoyalRoots,Electronics,Earbuds,eco;budget;decor;travel;charging;women,S009,4.5,0.287,true
I0061,Eco Navy Leggings by UrbanHide,"Leggings in Bamboo with Long Battery, Organizer Pockets. Ideal for women ethnic use.",442,UrbanHide,Women Ethnic,Leggings,style;summer;kids;kitchen;handmade;travel,S006,4.74,0.31,true
I0062,Premium Purple Kurta by SparkLite,"Kurta in Alloy with Anti-Slip, Quick-Dry. Ideal for men use.",776,SparkLite,Men,Kurta,men;party;new;decor;trending;dailywear,S002,4.24,0.302,true
I0063,Classic Yellow Bottles by DenimWorks,"Bottles in Silk with Quick-Dry, Skin-Friendly. Ideal for sports & fitness use.",411,DenimWorks,Sports & Fitness,Bottles,kitchen;women;gadgets;budget;fitness;ethnic,S015,3.82,0.311,true
I0064,Stylish Navy Flats by SonicBeat,"Flats in Bamboo with Skin-Friendly, Quick-Dry. Ideal for footwear use.",1202,SonicBeat,Footwear,Flats,office;summer;women;gadgets;new;bestseller,S011,4.39,0.296,true
I0065,Vibrant White T-shirts by DesiWeave,"T-shirts in Canvas with Stretchable, Noise Cancellation. Ideal for men use.",396,DesiWeave,Men,T-shirts,women;party;men;fitness;winter;wedding,S001,4.36,0.312,false
I0066,Vibrant Beige Bottles by FitBolt,"Bottles in Chiffon with Noise Cancellation, Organizer Pockets. Ideal for sports & fitness use.",1289,FitBolt,Sports & Fitness,Bottles,gift;office;decor;yoga;summer;western,S013,3.76,0.296,true
I0067,Comfy Grey Decor by BharatHome,"Decor in Wood with Skin-Friendly, Quick-Dry. Ideal for home use.",456,BharatHome,Home,Decor,bestseller;gadgets;handmade;organizer;home;festival,S003,3.72,0.309,true
I0068,Lightweight Teal Kurtis by MaxStyle,"Kurtis in Silk with Long Battery, Leak-Proof. Ideal for women ethnic use.",1044,MaxStyle,Women Ethnic,Kurtis,accessories;budget;grooming;kitchen;home;fashion,S015,4.27,0.298,true
I0069,Classic Black Haircare by SparkLite,"Haircare in Polycarbonate with Noise Cancellation, Organizer Pockets. Ideal for beauty use.",1200,SparkLite,Beauty,Haircare,women;dailywear;home;decor;fitness;grooming,S006,4.46,0.296,true
I0070,Durable Black Appliances by NeoTrend,"Appliances in Denim with Stretchable, Skin-Friendly. Ideal for kitchen use.",501,NeoTrend,Kitchen,Appliances,new;fitness;western;organizer;premium;wedding,S001,3.94,0.308,true
I0071,Durable Purple Cookware by SonicBeat,"Cookware in Wood with Long Battery, Skin-Friendly. Ideal for kitchen use.",1509,SonicBeat,Kitchen,Cookware,bestseller;women;decor;summer;gift;kitchen,S002,3.83,0.294,true
I0072,Eco Red Co-ords by SonicBeat,"Co-ords in Wood with Long Battery, Stretchable. Ideal for women western use.",357,SonicBeat,Women Western,Co-ords,gadgets;kitchen;wedding;winter;men;kids,S010,4.96,0.313,true
I0073,Classic Purple Resistance Bands by TrailTech,"Resistance Bands in Stainless Steel with Long Battery, Quick-Dry. Ideal for sports & fitness use.",982,TrailTech,Sports & Fitness,Resistance Bands,accessories;office;kids;fitness;party;trending,S014,4.69,0.299,true
I0074,Handcrafted Red Smartwatch by SareeSaheli,"Smartwatch in Stainless Steel with Skin-Friendly, Stretchable. Ideal for electronics use.",597,SareeSaheli,Electronics,Smartwatch,budget;decor;accessories;handmade;fitness;grooming,S010,4.46,0.305,true
I0075,Elegant Beige Men Sneakers by ChefPro,"Men Sneakers in Alloy with Skin-Friendly, Stretchable. Ideal for footwear use.",1974,ChefPro,Footwear,Men Sneakers,ethnic;men;gadgets;premium;kids;kitchen,S012,4.54,0.291,true
I0076,Handcrafted Orange Cables by MaxStyle,"Cables in Bamboo with Skin-Friendly, Long Battery. Ideal for electronics use.",1063,MaxStyle,Electronics,Cables,premium;ethnic;new;home;decor;eco,S003,4.65,0.298,true
I0077,Elegant Pink Bangles by RoyalRoots,"Bangles in Terracotta with Noise Cancellation, Leak-Proof. Ideal for jewellery use.",1068,RoyalRoots,Jewellery,Bangles,trending;summer;festival;fitness;dailywear;new,S005,3.98,0.298,true
I0078,Comfy White Appliances by BharatHome,"Appliances in Cotton with Nonstick, Noise Cancellation. Ideal for kitchen use.",389,BharatHome,Kitchen,Appliances,fitness;travel;kitchen;ethnic;wedding;new,S014,4.53,0.312,true
I0079,Stylish Red Decor by RoyalRoots,"Decor in Terracotta with Quick-Dry, Stretchable. Ideal for home use.",1228,RoyalRoots,Home,Decor,party;festival;bestseller;dailywear;home;gift,S012,3.91,0.296,true
I0080,Premium Black Rings by SteelPro,"Rings in Stainless Steel with Skin-Friendly, Nonstick. Ideal for jewellery use.",937,SteelPro,Jewellery,Rings,travel;fitness;gadgets;winter;party;bestseller,S011,4.78,0.299,true
I0081,Eco Teal Earbuds by SparkLite,"Earbuds in Stainless Steel with RFID Blocking, Nonstick. Ideal for electronics use.",4001,SparkLite,Electronics,Earbuds,gift;travel;home;dailywear;summer;festival,S004,3.84,0.284,true
I0082,Lightweight Navy Skincare by UrbanHide,"Skincare in Leather with Quick-Dry, Long Battery. Ideal for beauty use.",427,UrbanHide,Beauty,Skincare,decor;men;kids;fitness;ethnic;dailywear,S005,4.45,0.31,true
I0083,Handcrafted Maroon Tools by Oak&Co,"Tools in Cotton with Noise Cancellation, Nonstick. Ideal for kitchen use.",1446,Oak&Co,Kitchen,Tools,eco;organizer;party;handmade;home;men,S012,4.66,0.294,true
I0084,Vibrant Blue Makeup by DesiWeave,"Makeup in Alloy with Nonstick, Anti-Slip. Ideal for beauty use.",290,DesiWeave,Beauty,Makeup,wedding;fitness;gift;gadgets;office;trending,S007,3.87,0.317,true
I0085,Comfy Teal Earbuds by KidJoy,"Earbuds in Canvas with Leak-Proof, RFID Blocking. Ideal for electronics use.",561,KidJoy,Electronics,Earbuds,western;women;premium;tech;festival;winter,S011,3.97,0.306,true
I0086,Lightweight Green Skincare by CraftKart,"Skincare in Alloy with Leak-Proof, Nonstick. Ideal for beauty use.",180,CraftKart,Beauty,Skincare,new;kitchen;wedding;women;summer;ethnic,S006,4.61,0.326,true
I0087,Trendy Grey Jeans by BeechCraft,"Jeans in Terracotta with Organizer Pockets, Skin-Friendly. Ideal for women western use.",586,BeechCraft,Women Western,Jeans,winter;kitchen;ethnic;new;men;decor,S014,4.8,0.306,true
I0088,Eco Brown Kurtis by MaxStyle,"Kurtis in Terracotta with Quick-Dry, Leak-Proof. Ideal for women ethnic use.",1283,MaxStyle,Women Ethnic,Kurtis,home;decor;kitchen;handmade;women;new,S014,3.68,0.296,true
I0089,Vibrant White Handbags by RoyalRoots,"Handbags in Stainless Steel with Noise Cancellation, RFID Blocking. Ideal for bags & luggage use.",473,RoyalRoots,Bags & Luggage,Handbags,home;grooming;travel;budget;new;bestseller,S008,3.53,0.309,true
I0090,Stylish Beige Women Sandals by TrailTech,"Women Sandals in Canvas with Nonstick, Anti-Slip. Ideal for footwear use.",2404,TrailTech,Footwear,Women Sandals,grooming;home;western;women;wedding;budget,S001,4.45,0.289,true
I0091,Premium Grey Haircare by NeoTrend,"Haircare in Silk with Anti-Theft, Skin-Friendly. Ideal for beauty use.",864,NeoTrend,Beauty,Haircare,gadgets;kids;summer;trending;new;home,S002,3.81,0.3,false
I0092,Handcrafted Purple Wallets by FitBolt,"Wallets in Denim with Nonstick, Noise Cancellation. Ideal for bags & luggage use.",2671,FitBolt,Bags & Luggage,Wallets,home;party;wedding;accessories;festival;ethnic,S004,4.53,0.288,true
I0093,Classic Brown Bedsheets by SteelPro,"Bedsheets in Denim with Stretchable, RFID Blocking. Ideal for home use.",1779,SteelPro,Home,Bedsheets,winter;trending;bestseller;decor;men;gadgets,S010,4.09,0.292,true
I0094,Lightweight Navy Yoga Mat by SparkLite,"Yoga Mat in Denim with Anti-Slip, Long Battery. Ideal for sports & fitness use.",408,SparkLite,Sports & Fitness,Yoga Mat,gadgets;fitness;bestseller;men;new;travel,S006,3.77,0.311,true
I0095,Handcrafted Black Backpacks by ChefPro,"Backpacks in Bamboo with Long Battery, Anti-Theft. Ideal for bags & luggage use.",573,ChefPro,Bags & Luggage,Backpacks,wedding;new;kitchen;festival;women;gadgets,S009,4.1,0.306,true
I0096,Classic Grey Smartwatch by AuraCare,"Smartwatch in Bamboo with Anti-Theft, Anti-Slip. Ideal for electronics use.",1763,AuraCare,Electronics,Smartwatch,bestseller;winter;handmade;wedding;gadgets;women,S015,4.07,0.292,true
I0097,Durable Maroon Storage by SareeSaheli,"Storage in Cotton with Stretchable, Anti-Slip. Ideal for kitchen use.",1954,SareeSaheli,Kitchen,Storage,new;ethnic;kitchen;winter;gift;gadgets,S005,3.84,0.291,true
I0098,Elegant Teal Frocks by GlowHerb,"Frocks in Denim with Quick-Dry, Organizer Pockets. Ideal for kids use.",828,GlowHerb,Kids,Frocks,gift;trending;gadgets;handmade;kids;new,S015,4.52,0.301,true
I0099,Comfy Grey T-Shirts by CraftKart,"T-Shirts in Chiffon with Organizer Pockets, Anti-Slip. Ideal for kids use.",1036,CraftKart,Kids,T-Shirts,ethnic;grooming;gift;home;bestseller;office,S005,4.59,0.298,true
I0100,Stylish Grey Jeans by SonicBeat,"Jeans in Terracotta with Stretchable, Anti-Slip. Ideal for women western use.",682,SonicBeat,Women Western,Jeans,wedding;fashion;kids;men;party;premium,S001,3.75,0.304,true
I0101,Handcrafted Teal Dresses by KidJoy,"Dresses in Alloy with Anti-Slip, Organizer Pockets. Ideal for women western use.",361,KidJoy,Women Western,Dresses,kids;eco;men;party;bestseller;kitchen,S013,4.63,0.313,true
I0102,Vibrant Black Dumbbells by DesiWeave,"Dumbbells in Silk with RFID Blocking, Anti-Theft. Ideal for sports & fitness use.",1831,DesiWeave,Sports & Fitness,Dumbbells,kitchen;home;grooming;bestseller;office;party,S014,3.89,0.292,false
I0103,Classic Grey Heels by TrailTech,"Heels in Cotton with Skin-Friendly, Anti-Theft. Ideal for footwear use.",299,TrailTech,Footwear,Heels,kitchen;wedding;style;premium;handmade;eco,S001,4.56,0.316,true
I0104,Premium Green Tops by SteelPro,"Tops in Bamboo with Leak-Proof, Stretchable. Ideal for women western use.",439,SteelPro,Women Western,Tops,grooming;home;new;fashion;style;wedding,S009,4.08,0.31,true
I0105,Vibrant White Bangles by DesiWeave,"Bangles in Stainless Steel with RFID Blocking, Quick-Dry. Ideal for jewellery use.",415,DesiWeave,Jewellery,Bangles,eco;budget;kids;handmade;party;gadgets,S011,4.28,0.311,false
I0106,Classic Green Handbags by DenimWorks,"Handbags in Alloy with Leak-Proof, Stretchable. Ideal for bags & luggage use.",497,DenimWorks,Bags & Luggage,Handbags,new;office;summer;bestseller;eco;gift,S015,4.86,0.308,true
I0107,Premium White Earbuds by GlowHerb,"Earbuds in Leather with Anti-Theft, Quick-Dry. Ideal for electronics use.",617,GlowHerb,Electronics,Earbuds,western;kitchen;fitness;gift;tech;summer,S010,3.92,0.305,true
I0108,Minimal Purple Storage by DesiWeave,"Storage in Stainless Steel with RFID Blocking, Quick-Dry. Ideal for kitchen use.",322,DesiWeave,Kitchen,Storage,organizer;handmade;trending;gift;accessories;party,S009,3.67,0.315,true
I0109,Elegant Purple Resistance Bands by AuraCare,"Resistance Bands in Stainless Steel with Skin-Friendly, Anti-Theft. Ideal for sports & fitness use.",278,AuraCare,Sports & Fitness,Resistance Bands,gadgets;wedding;festival;summer;budget;women,S008,4.36,0.318,true
I0110,Minimal White Power Bank by SonicBeat,"Power Bank in Terracotta with Anti-Slip, Nonstick. Ideal for electronics use.",1182,SonicBeat,Electronics,Power Bank,handmade;gadgets;tech;ethnic;budget;charging,S007,4.01,0.297,true
I0111,Handcrafted Grey Handbags by Oak&Co,"Handbags in Stainless Steel with Skin-Friendly, Anti-Slip. Ideal for bags & luggage use.",327,Oak&Co,Bags & Luggage,Handbags,western;gift;handmade;accessories;gadgets;home,S007,3.68,0.315,true
I0112,Eco Orange Kurta by DesiWeave,"Kurta in Bamboo with Leak-Proof, Stretchable. Ideal for men use.",362,DesiWeave,Men,Kurta,kids;dailywear;budget;decor;handmade;festival,S012,4.05,0.313,true
I0113,Trendy Purple Kurta by CraftKart,"Kurta in Terracotta with Noise Cancellation, Leak-Proof. Ideal for men use.",1158,CraftKart,Men,Kurta,fitness;accessories;grooming;gadgets;office;western,S008,4.35,0.297,true
I0114,Durable Yellow T-Shirts by AuraCare,"T-Shirts in Silk with Anti-Slip, Stretchable. Ideal for kids use.",316,AuraCare,Kids,T-Shirts,eco;handmade;gift;gadgets;travel;summer,S006,4.41,0.315,true
I0115,Elegant Purple Wallets by SparkLite,"Wallets in Stainless Steel with Anti-Theft, Noise Cancellation. Ideal for bags & luggage use.",658,SparkLite,Bags & Luggage,Wallets,eco;summer;wedding;new;accessories;kids,S013,4.82,0.304,true
I0116,Stylish Yellow Storage by AuraCare,"Storage in Canvas with Quick-Dry, Anti-Theft. Ideal for kitchen use.",772,AuraCare,Kitchen,Storage,summer;home;wedding;handmade;budget;kids,S013,4.41,0.302,true
I0117,Eco Grey Kurta by SparkLite,"Kurta in Cotton with Anti-Theft, Skin-Friendly. Ideal for men use.",1674,SparkLite,Men,Kurta,party;budget;casual;trending;ethnic;premium,S007,4.09,0.293,true
I0118,Lightweight Black Bangles by Oak&Co,"Bangles in Wood with Stretchable, Anti-Theft. Ideal for jewellery use.",1874,Oak&Co,Jewellery,Bangles,kitchen;summer;women;men;new;style,S011,4.1,0.291,true
I0119,Durable Brown Smartwatch by AuraCare,"Smartwatch in Terracotta with Anti-Slip, Stretchable. Ideal for electronics use.",1626,AuraCare,Electronics,Smartwatch,grooming;winter;bestseller;budget;trending;summer,S006,3.99,0.293,true
I0120,Comfy Brown Kurtis by NeoTrend,"Kurtis in Alloy with Leak-Proof, Skin-Friendly. Ideal for women ethnic use.",714,NeoTrend,Women Ethnic,Kurtis,budget;fitness;bestseller;trending;style;dailywear,S005,3.71,0.303,true
I0121,Trendy Maroon Dumbbells by MaxStyle,"Dumbbells in Bamboo with Nonstick, Leak-Proof. Ideal for sports & fitness use.",268,MaxStyle,Sports & Fitness,Dumbbells,festival;wedding;gym;party;eco;women,S011,3.78,0.318,true
